ID;EXT_ID;SOURCE;FIRSTNAME;LASTNAME;TITLE;EMAIL;REPORTS_TO;DEPARTMENT;JOBCODE;DIVISION;LOCATION;CITY;COUNTRY;NAME;SKILL_SET
100001;1000000150;;Hedy;Wey;;Hedy.Wey@external.com;100001;;;;;Berlin;Germany;Hedy Wey;Application Lifecycle Management
100002;1000000046;;Palmira;Steffenson;;Palmira.Steffenson@external.com;100001;;;;;Berlin;Germany;Palmira Steffenson;Big Data EIM
100003;1000004384;;Taunya;Ballance;;Taunya.Ballance@external.com;100002;;;;;Muenchen ;Germany;Taunya Ballance;Business Intelligence
100004;1000000016;;Arnita;Kee;;Arnita.Kee@external.com;100003;;;;;Georgsmarienhuette;Germany;Arnita Kee;BW4HANA
100005;1000000045;;Evelin;France;;Evelin.France@external.com;100004;;;;;Schoeppenstedt;Germany;Evelin France;BYD
100006;1000000044;;Ozell;Broyles;;Ozell.Broyles@external.com;100005;;;;;Stuttgart;Germany;Ozell Broyles;C4C
100007;1000000043;;Teodoro;Wiltsie;;Teodoro.Wiltsie@external.com;100006;;;;;Dresden;Germany;Teodoro Wiltsie;C4TE
100008;1000004385;;Tayna;Crimmins;;Tayna.Crimmins@external.com;100007;;;;;Bad Bellingen Baden;Germany;Tayna Crimmins;CEC
100010;1000000023;;Hyon;Leon;;Hyon.Leon@external.com;100009;;;;;Schoeppenstedt;Germany;Hyon Leon;CRM
100011;1000000042;;Sidney;Liggins;;Sidney.Liggins@external.com;100010;;;;;Singen;Germany;Sidney Liggins;Cross Platform Integration
100012;1000000041;;Karmen;Legree;;Karmen.Legree@external.com;100011;;;;;Eckernfoerde;Germany;Karmen Legree;Knowledge about functionality and architecture of the product SAP Customer Checkout
100013;1000002637;;Macy;Andrada;;Macy.Andrada@external.com;100012;;;;;Georgsmarienhuette;Germany;Macy Andrada;DBOS
100014;1000000040;;Delaine;Roten;;Delaine.Roten@external.com;100013;;;;;Emsdetten;Germany;Delaine Roten;Enterprise Data Management
100015;1000004386;;Michale;Wooten;;Michale.Wooten@external.com;100014;;;;;Glandorf;Germany;Michale Wooten;EPM
100016;1000004383;;Johnetta;Tague;;Johnetta.Tague@external.com;100015;;;;;Georgsmarienhuette;Germany;Johnetta Tague;Knowledge about functionality and architecture of the product SAP Event Ticketing
100017;1000004388;;Jeannette;Struck;;Jeannette.Struck@external.com;100011;;;;;Emsdetten;Germany;Jeannette Struck;GRC
100018;1000004434;;Dot;Mattews;;Dot.Mattews@external.com;100009;;;;;Friedberg Hessen;Germany;Dot Mattews;HANA PLATFORM
100019;1000004740;;Zaida;Renick;;Zaida.Renick@external.com;100003;;;;;Glandorf;Germany;Zaida Renick;HCM
100020;1000004382;;Lorilee;Rasmus;;Lorilee.Rasmus@external.com;100013;;;;;Berlin;Germany;Lorilee Rasmus;INDUSTRY SOLUTIONS
