ID;REPORTS_TO;SKILL_SET;EXT_ID;NAME
100001;100001;Application Lifecycle Management;1000000150;Hedy Wey
100002;100001;Big Data EIM;1000000046;Palmira Steffenson
100003;100002;Business Intelligence;1000004384;Taunya Ballance
100004;100003;BW4HANA;1000000016;Arnita Kee
100005;100004;BYD;1000000045;Evelin France
100006;100005;C4C;1000000044;Ozell Broyles
100007;100006;C4TE;1000000043;Teodoro Wiltsie
100008;100007;CEC;1000004385;Tayna Crimmins
100009;100008;Core Platform;1000002636;Evita Schmaltz
100010;100009;CRM;1000000023;Hyon Leon
100011;100010;Cross Platform Integration;1000000042;Sidney Liggins
100012;100011;Knowledge about functionality and architecture of the product SAP Customer Checkout;1000000041;Karmen Legree
100013;100012;DBOS;1000002637;Macy Andrada
100014;100013;Enterprise Data Management;1000000040;Delaine Roten
100015;100014;EPM;1000004386;Michale Wooten
100016;100015;Knowledge about functionality and architecture of the product SAP Event Ticketing;1000004383;Johnetta Tague
100017;100011;GRC;1000004388;Jeannette Struck
100018;100009;HANA PLATFORM;1000004434;Dot Mattews
100019;100003;HCM;1000004740;Zaida Renick
100020;100013;INDUSTRY SOLUTIONS;1000004382;Lorilee Rasmus
100021;100008;MDG;1000002729;Delphine Petters
100022;100004;NW JAVA;1000000079;Jan Richer
100023;100004;PARTNER SUPPORT;1000000037;Damaris Tuel
100024;100004;S4HANA Cloud;1000000036;Marivel Madonna
100025;100006;S4HANA Finance;1000000035;Karena Rivers
100026;100001;S4HANA PLM MAN;1000000034;Leora Murguia
100027;100005;S4HANA PROCUREMENT;1000004736;Nicolle Matley
100028;100001;S4HANA Sales;1000004381;Estell Baudoin
100029;100002;Knowledge about core functionality and architecture of the SAP Cloud Platform;1000004389;Harriette Arp
100030;100011;SCM;1000004390;Shaquita Medellin
100031;100002;SF EC, INT, Analytics;1000004387;Dalton Gullick
100032;100001;SF LMS, JAM & PLT ;1000000068;Ouida Falcone
100033;100001;SF Recruiting & ONB;1000000033;Chadwick Stejskal
100034;100010;SF TALENT;1000003012;Monnie Flory
100035;100011;Knowledge about functionality and architecture of the product SAP Sports One;1000000032;Long Devane
100036;100009;SRM;1000000031;Calista Maroon
100037;100005;Support Portal;1000000030;Iluminada Beyer
100038;100014;UX;1000002851;Lena Tiggs
100039;100013;Unix / Linux Architecture, kernel, API and principles of operation�Software development IBM;1000000029;Len Boomer
100040;100008;AIF Development;1000000028;Maple Senior
100041;100001;B2B Development;1000002635;Audie Spanbauer
100042;100003;Interface Development;1000004529;Gianna Hayes
100043;100009;Generic software engineering and development  tasks based on SAP Development Platforms, mainly on the platforms SAP NetWeaver, SAP HANA and SAP HANA Cloud Platform. Area of activities are front-end, back-end and  interface development. This includes to extend, to integrate and to build up new applications: on premise and in the cloud evironment;1000004526;Lia Fino
100044;100012;SAP SDI & SAP SDQ development;1000004528;Josue Vandine
